guten_bid,guten_bname,guten_blan,guten_aid,guten_aname,guten_aalias,good_isbn,good_series,good_lan,good_author_id,good_bid,good_workid,good_title,good_title_without_series,good_aname,good_original_title,good_title_list,guten_bname_list,new_match_good,new_match_guten
5006,Harriet and the Piper,en,3433,"Norris, Kathleen Thompson",[],,[],eng,60396,10017396,2387566,Harriet and the Piper,Harriet and the Piper,Kathleen Thompson Norris,Harriet and the Piper,"['harriet', 'piper']","['harriet', 'piper']",[10017396],[5006]
5020,State of the Union Addresses,en,16434,"Taylor, Zachary",['United States President (1849-1850)'],,[],,879923,20694188,40013814,State of the Union Address,State of the Union Address,Zachary Taylor,,"['state', 'union', 'address']","['state', 'union', 'addresses']",[20694188],[5020]
5051,The Morals of Marcus Ordeyne : a Novel,en,5260,"Locke, William John","['Locke, William J. (William John)', 'Locke, W. J. (William John)']",,[],eng,56603,24929501,14467101,"The Morals of Marcus Ordeyne, a Novel","The Morals of Marcus Ordeyne, a Novel",William J. Locke,,"['morals', 'marcus', 'ordeyne', 'novel']","['morals', 'marcus', 'ordeyne', 'novel']","[9580196, 24929501]",[5051]
5067,The Rainbow Trail,en,2522,"Grey, Zane","['Gray, Zane', 'Gray, Pearl Zane']",,['1056610'],,18134,18881426,3063248,The Rainbow Trail,The Rainbow Trail,Zane Grey,The Rainbow Trail,"['rainbow', 'trail']","['rainbow', 'trail']","[6522285, 18881426, 18507766, 21891067, 6409692]",[5067]
5070,The Doctor's Dilemma,en,1657,"Shaw, Bernard","['Shaw, George Bernard', 'Shaw, Bernhard']",0140450270,[],,5217,2524431,3095346,The Doctor's Dilemma,The Doctor's Dilemma,George Bernard Shaw,The Doctor's Dilemma: A Tragedy,"['doctor', 'dilemma']","['doctor', 'dilemma']","[7633704, 642762, 7067115, 2524431]","[14454, 5070]"
5071,The Philanderer,en,1657,"Shaw, Bernard","['Shaw, George Bernard', 'Shaw, Bernhard']",1406935042,[],,5217,325885,911455,The Philanderer,The Philanderer,George Bernard Shaw,The Philanderer: An Unpleasant Play,['philanderer'],['philanderer'],"[19076512, 325885]",[5071]
5076,The Spoilers,en,7729,"Beach, Rex","['Beach, Rex Ellingwood']",1432613286,[],,1063786,5162332,5229347,The Spoilers,The Spoilers,Rex Beach,The Spoilers,['spoilers'],['spoilers'],[5162332],[5076]
5079,Ziska: The Problem of a Wicked Soul,en,1718,"Corelli, Marie","['Corelli, Maria', 'Mackay, Mary']",1406515507,[],eng,8118,2974257,3004576,Ziska: The Problem of a Wicked Soul,Ziska: The Problem of a Wicked Soul,Marie Corelli,Ziska: The Problem of a Wicked Soul,"['ziska', 'problem', 'wicked', 'soul']","['ziska', 'problem', 'wicked', 'soul']",[2974257],[5079]
5083,The Man of Feeling,en,24791,"Mackenzie, Henry","['Mackenzie, H. (Henry)']",1458707628,[],,8133,10883257,242567,The Man of Feeling,The Man of Feeling,Henry MacKenzie,The Man of Feeling,"['man', 'feeling']","['man', 'feeling']","[6338978, 250329, 19489932, 10883257, 250330]",[5083]
5090,I Will Repay,en,2508,"Orczy, Emmuska Orczy, Baroness","['Barstow, Montagu, Mrs.', 'Orczy, Baroness Emmuska']",1599865696,"['179529', '852698']",,2893961,3057537,3088438,I Will Repay,I Will Repay,Emmuska Orczy,I Will Repay: A Romance,['repay'],['repay'],"[3057537, 31123073, 6467363, 1149252, 9027932]",[5090]
5093,The Little Minister,en,3665,"Barrie, J. M. (James Matthew)","['Barrie, James Matthew', 'Barrie, J.M.']",,[],eng,5255014,28807091,846422,The Little Minister,The Little Minister,J.M. Barrie,The Little Minister,"['little', 'minister']","['little', 'minister']","[4537683, 28807091, 860983, 22787143]",[5093]
5099,Heart of the Sunset,en,7729,"Beach, Rex","['Beach, Rex Ellingwood']",,[],,1063786,21461290,6675229,Heart of the Sunset,Heart of the Sunset,Rex Beach,Heart of the Sunset,"['heart', 'sunset']","['heart', 'sunset']",[21461290],[5099]
5103,A Zola Dictionary; the Characters of the Rougon-Macquart Novels of Emile Zola;,en,15554,"Patterson, J. G",[],,[],eng,66630,10125113,15022905,A Zola Dictionary: the Characters of the Rougon-Macquart Novels of Emile Zola;,A Zola Dictionary: the Characters of the Rougon-Macquart Novels of Emile Zola;,J.G. Patterson,,"['zola', 'dictionary', 'characters', 'rougon', 'macquart', 'novels', 'emile', 'zola']","['zola', 'dictionary', 'characters', 'rougon', 'macquart', 'novels', 'emile', 'zola']",[10125113],[5103]
5109,Ragnarok : the Age of Fire and Gravel,en,4179,"Donnelly, Ignatius","['Donnelly, I. L. (Ignatius L.)', 'Boisgilbert, Edmund']",0821601423,[],,64030,1030413,1236673,Ragnarok:  The Age Of Fire And Gravel,Ragnarok:  The Age Of Fire And Gravel,Ignatius L. Donnelly,Ragnarok : The Age of Fire and Gravel,"['ragnarok', 'age', 'fire', 'gravel']","['ragnarok', 'age', 'fire', 'gravel']",[1030413],[5109]
5110,The Adventures of Jerry Muskrat,en,267,"Burgess, Thornton W. (Thornton Waldo)","['Burgess, Thornton Waldo']",0486278174,['566375'],,5732,752935,739063,The Adventures of Jerry Muskrat,The Adventures of Jerry Muskrat,Thornton W. Burgess,The Adventures of Jerry Muskrat,"['adventure', 'jerry', 'muskrat']","['adventure', 'jerry', 'muskrat']",[752935],[5110]
5111,The Real Diary of a Real Boy,en,8211,"Shute, Henry A. (Henry Augustus)","['Shute, Henry Augustus']",1406935085,[],,725678,1266838,1255732,The Real Diary Of A Real Boy,The Real Diary Of A Real Boy,Henry A. Shute,,"['real', 'diary', 'real', 'boy']","['real', 'diary', 'real', 'boy']",[1266838],[5111]
5114,Ardath: The Story of a Dead Self,en,1718,"Corelli, Marie","['Corelli, Maria', 'Mackay, Mary']",1592248535,[],,8118,9612542,1462549,Ardath: The Story of a Dead Self,Ardath: The Story of a Dead Self,Marie Corelli,Ardath: The Story of a Dead Self,"['ardath', 'story', 'dead', 'self']","['ardath', 'story', 'dead', 'self']","[1471582, 9612542]",[5114]
5116,Pragmatism: A New Name for Some Old Ways of Thinking,en,509,"James, William",[],1599867540,[],,15865,2041795,6544667,Pragmatism: A New Name for Some Old Ways of Thinking,Pragmatism: A New Name for Some Old Ways of Thinking,William James,Pragmatism,"['pragmatism', 'new', 'name', 'old', 'ways', 'thinking']","['pragmatism', 'new', 'name', 'old', 'ways', 'thinking']","[2041795, 681508, 2238678]",[5116]
5117,The Meaning of Truth,en,509,"James, William",[],1573921386,[],,15865,980387,54550,The Meaning of Truth,The Meaning of Truth,William James,The Meaning of Truth,"['meaning', 'truth']","['meaning', 'truth']",[980387],[5117]
5118,The American Senator,en,155,"Trollope, Anthony",[],,[],,20524,19244267,1255842,The American Senator,The American Senator,Anthony Trollope,The American Senator,"['american', 'senator']","['american', 'senator']","[6509393, 19244267, 862724, 267117]",[5118]
5120,"Vandrad the Viking; Or, The Feud and the Spell",en,1494,"Clouston, J. Storer (Joseph Storer)","['Clouston, Joseph Storer']",,[],eng,4127828,19146131,13031423,"Vandrad the Viking, the Feud and the Spell","Vandrad the Viking, the Feud and the Spell",J. Storer Clouston,Vandrad the Viking The Feud and the Spell,"['vandrad', 'viking', 'feud', 'spell']","['vandrad', 'viking', 'feud', 'spell']",[19146131],[5120]
5121,Dark Hollow,en,358,"Green, Anna Katharine","['Rohlfs, Anna Katharine Green', 'Rohlfs, Mrs. Charles']",,[],,60005,6246320,10744263,Dark Hollow,Dark Hollow,Anna Katharine Green,Dark Hollow,"['dark', 'hollow']","['dark', 'hollow']","[6246320, 11064665]",[5121]
5122,The Trail of the Lonesome Pine,en,752,"Fox, John","['Fox, John William']",,[],eng,1113035,13493502,2953130,The Trail Of The Lonesome Pine,The Trail Of The Lonesome Pine,John Fox Jr.,The Trail of the Lonesome Pine,"['trail', 'lonesome', 'pine']","['trail', 'lonesome', 'pine']","[19925739, 18924860, 2666772, 13493502]",[5122]
5123,The Contest in America,en,1633,"Mill, John Stuart","['Mill, J. S. (John Stuart)']",1605206903,[],eng,57651,7550067,9843363,The Contest in America,The Contest in America,John Stuart Mill,,"['contest', 'america']","['contest', 'america']",[7550067],[5123]
5131,Childe Harold's Pilgrimage,en,622,"Byron, George Gordon Byron, Baron","['Byron, George Gordon Noël Byron, Baron', 'Byron, George Gordon Noel Byron, Baron']",1443809667,[],,44407,12806754,2295164,Childe Harold's Pilgrimage,Childe Harold's Pilgrimage,George Gordon Byron,Childe Harold's Pilgrimage,"['childe', 'harold', 'pilgrimage']","['childe', 'harold', 'pilgrimage']","[12806754, 9363604, 961181]",[5131]
5135,The Fortune of the Rougons,en,213,"Zola, Émile","['Zola, Émile Édouard Charles Antoine']",,"['147891', '486097']",eng,4750,19413987,303087,The Fortune of the Rougons,The Fortune of the Rougons,Emile Zola,La Fortune des Rougon,"['fortune', 'rougons']","['fortune', 'rougons']",[19413987],[5135]
5140,He Knew He Was Right,en,155,"Trollope, Anthony",[],,[],eng,20524,32792759,2378128,He Knew He Was Right,He Knew He Was Right,Anthony Trollope,He Knew He Was Right,"['knew', 'right']","['knew', 'right']","[1100960, 267104, 17257986, 7165738, 24980079, 9339507, 32792759, 2371226, 935005]",[5140]
5141,What Katy Did at School,en,1953,"Coolidge, Susan","['Woolsey, Sarah Chauncey']",0613995511,['183653'],,387955,3239357,3274035,What Katy Did at School,What Katy Did at School,Susan Coolidge,What Katy Did at School,"['katy', 'school']","['katy', 'school']","[2268569, 18902498, 3239357]",[5141]
5142,Graustark,en,1557,"McCutcheon, George Barr",[],,['445653'],,299386,19438405,2235329,Graustark,Graustark,George Barr McCutcheon,Graustark: The Story Of A Love Behind A Throne,['graustark'],['graustark'],"[4838627, 19438405, 16055902]",[5142]
5145,The Heart of the Hills,en,752,"Fox, John","['Fox, John William']",1417905875,[],,1113035,3217387,3251326,The Heart of the Hills,The Heart of the Hills,John Fox Jr.,The Heart of the Hills,"['heart', 'hills']","['heart', 'hills']","[21204906, 3217387]",[5145]
5150,The Ear in the Wall,en,9894,"Reeve, Arthur B. (Arthur Benjamin)","['Reeve, Arthur Benjamin']",0554312263,['445573'],,17280033,8115516,13000415,The Ear in the Wall,The Ear in the Wall,Arthur B. Reeve,,"['ear', 'wall']","['ear', 'wall']",[8115516],[5150]
5151,The Exploits of Elaine,en,9894,"Reeve, Arthur B. (Arthur Benjamin)","['Reeve, Arthur Benjamin']",,['445576'],,17280033,20740947,2453860,The Exploits of Elaine,The Exploits of Elaine,Arthur B. Reeve,The Exploits of Elaine,"['exploits', 'elaine']","['exploits', 'elaine']",[20740947],[5151]
5155,Cæsar's Column: A Story of the Twentieth Century,en,4179,"Donnelly, Ignatius","['Donnelly, I. L. (Ignatius L.)', 'Boisgilbert, Edmund']",1426412304.0,[],,64030,1030412,1236674,Caesar's Column: A Story of the Twentieth Century,Caesar's Column: A Story of the Twentieth Century,Ignatius L. Donnelly,Caesar's Column: A Story of the Twentieth Century,"['caesar', 'column', 'story', 'twentieth', 'century']","['cæsar', 'column', 'story', 'twentieth', 'century']",[1030412],[5155]
5162,Agatha Webb,en,358,"Green, Anna Katharine","['Rohlfs, Anna Katharine Green', 'Rohlfs, Mrs. Charles']",,['266658'],eng,60005,18164601,377880,Agatha Webb,Agatha Webb,Anna Katharine Green,Agatha Webb,"['agatha', 'webb']","['agatha', 'webb']","[17921752, 18164601, 3599028]",[5162]
5164,The Beetle: A Mystery,en,4707,"Marsh, Richard","['Heldman, Richard Bernard', 'Heldmann, Bernard']",1402175965,[],,3348,728927,802628,The Beetle. A Mystery,The Beetle. A Mystery,Richard Marsh,The Beetle,"['beetle', 'mystery']","['beetle', 'mystery']","[4475173, 2681943, 728927]",[5164]
5169,"Hardscrabble; or, the fall of Chicago: a tale of Indian warfare",en,1818,"Richardson, Major (John)","['Richardson, John']",,[],eng,3139419,21195035,40533078,"Hardscrabble; or, the fall of Chicago. a tale of Indian warfare","Hardscrabble; or, the fall of Chicago. a tale of Indian warfare",John   Richardson,,"['hardscrabble', 'fall', 'chicago', 'tale', 'indian', 'warfare']","['hardscrabble', 'fall', 'chicago', 'tale', 'indian', 'warfare']",[21195035],[5169]
5173,"The Religion of the Samurai
A Study of Zen Philosophy and Discipline in China and Japan",en,22738,"Nukariya, Kaiten",[],0718901665,[],,499333,5551835,977964,The Religion Of The Samurai; A Study Of Zen Philosophy And Discipline In China And Japan,The Religion Of The Samurai; A Study Of Zen Philosophy And Discipline In China And Japan,Kaiten Nukariya,The Religion of the Samurai: A Study of Zen Philosophy and Discipline in China and Japan,"['religion', 'samurai', 'study', 'zen', 'philosophy', 'discipline', 'china', 'japan']","['religion', 'samurai', 'study', 'zen', 'philosophy', 'discipline', 'china', 'japan']",[5551835],[5173]
5174,Allan and the Holy Flower,en,86,"Haggard, H. Rider (Henry Rider)","['Haggard, Rider', 'Haggard, Henry Rider']",1587150220,"['183134', '449537']",eng,4633123,728905,177183,Allan and the Holy Flower,Allan and the Holy Flower,H. Rider Haggard,Allan and the Holy Flower,"['allan', 'holy', 'flower']","['allan', 'holy', 'flower']","[728905, 5074239]",[5174]
5175,Pearl-Maiden: A Tale of the Fall of Jerusalem,en,86,"Haggard, H. Rider (Henry Rider)","['Haggard, Rider', 'Haggard, Henry Rider']",1930367899,[],,4633123,712072,698334,Pearl Maiden: A Tale on the Fall of Jerusalem,Pearl Maiden: A Tale on the Fall of Jerusalem,H. Rider Haggard,Pearl-Maiden: A Tale of the Fall of Jerusalem,"['pearl', 'maiden', 'tale', 'fall', 'jerusalem']","['pearl', 'maiden', 'tale', 'fall', 'jerusalem']","[712072, 12331290]",[5175]
5176,Corpus of a Siam Mosquito,en,9427,"Sills, Steven David Justin",[],1475116268,[],eng,866258,13616410,19218182,Corpus of a Siam Mosquito,Corpus of a Siam Mosquito,Steven David Justin Sills,,"['corpus', 'siam', 'mosquito']","['corpus', 'siam', 'mosquito']",[13616410],[5176]
5177,Birds and Poets : with Other Papers,en,2663,"Burroughs, John",[],,[],,43560,6522019,6713923,"Birds and Poets, With Other Papers","Birds and Poets, With Other Papers",John Burroughs,Birds and Poets,"['birds', 'poets', 'papers']","['birds', 'poets', 'papers']",[6522019],[5177]
5182,The Old English Baron: a Gothic Story,en,18614,"Reeve, Clara","['Reeves, Clara']",,[],,8136,19252502,6246192,The Old English Baron: a Gothic Story,The Old English Baron: a Gothic Story,Clara Reeve,The Old English Baron,"['old', 'english', 'baron', 'gothic', 'story']","['old', 'english', 'baron', 'gothic', 'story']",[19252502],[5182]
5187,Miss Minerva and William Green Hill,en,7082,"Calhoun, Frances Boyd",[],0870491822,[],,214678,1766005,1764063,Miss Minerva and William Green Hill,Miss Minerva and William Green Hill,Frances Boyd Calhoun,Miss Minerva and William Green Hill,"['miss', 'minerva', 'william', 'green', 'hill']","['miss', 'minerva', 'william', 'green', 'hill']","[1766005, 8601223]",[5187]
5200,Metamorphosis,en,2313,"Kafka, Franz","['Kafka, F. (Franz)']",1848372027,[],en-GB,5223,5459222,2373750,Metamorphosis,Metamorphosis,Franz Kafka,Die Verwandlung,['metamorphosis'],['metamorphosis'],"[199680, 485894, 8171019, 607244, 19008017, 840220, 7721, 4926004, 25653816, 22370368, 8475202, 1190983, 21475401, 6080588, 1190990, 1190993, 27177047, 23249496, 23793763, 25269362, 424055, 424056, 424057, 17871486, 6409346, 22666884, 23510157, 46240, 30015654, 29777063, 33630374, 1182889, 34313398, 2300600, 367290, 6609082, 13557950, 17164999, 13021417, 21309675, 21134593, 29084930, 1058052, 27033863, 5459208, 5459222, 17687, 6505755, 17191, 24768809, 18657579, 524593, 7188278, 19091256, 6342461, 6094144, 15720806, 30372199, 17986414, 11297135, 23128949, 26070393, 26263934, 10864003, 10864010, 2604948, 17262485, 18190743, 28225434, 11671963, 17568666, 18096553, 34836401, 9246134, 10049494, 17282009, 8603641]","[5200, 26298]"
5201,Don Juan Tenorio,en,15736,"Zorrilla, José","['Moral, José Zorrilla y', 'Zorilla, José', 'Zorrilla, Jose']",8497400917,[],,174590,502591,863021,Don Juan Tenorio,Don Juan Tenorio,Jose Zorrilla,Don Juan Tenorio,"['juan', 'tenorio']","['juan', 'tenorio']","[1383681, 1383686, 1665742, 877693, 502591]",[5201]
5202,The Golden Lion of Granpere,en,155,"Trollope, Anthony",[],0192828436,[],,20524,3595014,2534239,The Golden Lion of Granpere,The Golden Lion of Granpere,Anthony Trollope,The Golden Lion of Granpere,"['golden', 'lion', 'granpere']","['golden', 'lion', 'granpere']",[3595014],[5202]
5210,The Borough,en,384,"Crabbe, George",[],,[],,309180,19216963,853243,The Borough,The Borough,George Crabbe,The Borough,['borough'],['borough'],[19216963],[5210]
5228,"Ayesha, the Return of She",en,86,"Haggard, H. Rider (Henry Rider)","['Haggard, Rider', 'Haggard, Henry Rider']",0543903060,['331611'],eng,4633123,1939539,18650125,Ayesha. The Return Of She,Ayesha. The Return Of She,H. Rider Haggard,Ayesha: The Return of She,"['ayesha', 'return']","['ayesha', 'return']","[509858, 18951962, 1939539, 2094213]",[5228]
5231,The Way We Live Now,en,155,"Trollope, Anthony",[],1411433491,[],eng,20524,7684557,2152551,The Way We Live Now,The Way We Live Now,Anthony Trollope,The Way We Live Now,"['way', 'live']","['way', 'live']","[4903873, 17565986, 1171458, 10278178, 525642, 4734028, 7684557, 8593201, 381361, 6367379, 799253, 29385567, 25638583, 6066648, 149785, 11168667, 10879997, 595551]",[5231]
5232,Sejanus: His Fall,en,5221,"Jonson, Ben","['Ionson, Ben', 'Johnson, Ben', 'Jonson, Benjamin']",0719057027,[],eng,22583,1176814,998186,"Sejanus, His Fall","Sejanus, His Fall",Ben Jonson,Sejanus,"['sejanus', 'fall']","['sejanus', 'fall']","[9364121, 1176814]",[5232]
5246,Modern French Philosophy: a Study of the Development Since Comte,en,2549,"Gunn, John Alexander",[],1330422139,[],,5976961,26932939,27512056,Modern French Philosophy: A Study of the Development Since Comte,Modern French Philosophy: A Study of the Development Since Comte,John Alexander Gunn,,"['modern', 'french', 'philosophy', 'study', 'development', 'since', 'comte']","['modern', 'french', 'philosophy', 'study', 'development', 'since', 'comte']",[26932939],[5246]
5247,The Old Wives' Tale,en,759,"Bennett, Arnold","['Bennett, E. Arnold', 'Bennett, Enoch Arnold']",0755124138,['1069106'],,3314,18149233,2248867,The Old Wive's Tale,The Old Wive's Tale,Arnold Bennett,The Old Wives' Tale,"['old', 'wive', 'tale']","['old', 'wives', 'tale']","[2796514, 31177571, 7105149, 188454, 18149233, 18948786, 20600412, 2277053]",[5247]
5257,The Broad Highway,en,4418,"Farnol, Jeffery","['Farnol, Jeffrey', 'Farnol, John Jeffery', 'Farnol, Jack']",,['830824'],eng,108599,20455840,1724158,The Broad Highway,The Broad Highway,Jeffery Farnol,The Broad Highway,"['broad', 'highway']","['broad', 'highway']","[20455840, 1726722]",[5257]
5262,Curly and Floppy Twistytail (The Funny Piggie Boys),en,3786,"Garis, Howard Roger","['Garis, Howard R.', 'Davidson, Marion']",,['701680'],,106975,6455127,13300074,Curly and Floppy Twistytail The Funny Piggie Boys,Curly and Floppy Twistytail The Funny Piggie Boys,Howard R. Garis,Curly and Floppy Twistytail: The Funny Piggie Boys,"['curly', 'floppy', 'twistytail', 'funny', 'piggie', 'boys']","['curly', 'floppy', 'twistytail', 'funny', 'piggie', 'boys']",[6455127],[5262]
5266,Travels in the Interior of Africa — Volume 01,en,16278,"Park, Mungo",[],1419190881,[],,63027,885083,21421314,"Travels in the Interior of Africa, Volume 1","Travels in the Interior of Africa, Volume 1",Mungo Park,"Travels in the Interior of Africa, Volume 1","['travels', 'interior', 'africa', 'volume', 'one']","['travels', 'interior', 'africa', 'volume', 'one']",[885083],[5266]
5267,Sister Carrie,en,2231,"Dreiser, Theodore",[],083760401X,[],,8987,1323880,2437051,Sister Carrie,Sister Carrie,Theodore Dreiser,Sister Carrie,"['sister', 'carrie']","['sister', 'carrie']","[2346880, 200834, 1375491, 19368068, 6106505, 2229516, 126609, 10146586, 1976219, 19076256, 576801, 5941289, 1658413, 16170545, 644146, 7417778, 770359, 2268995, 2269002, 6563665, 636883, 6998366, 727523, 8171491, 1778407, 1323880, 11328751, 3383931, 1327742]",[5267]
5268,Courts and Criminals,en,2748,"Train, Arthur Cheney",[],1575887398,[],,6187265,3979833,4025613,Courts and Criminals,Courts and Criminals,Arthur Cheney Train,Courts and Criminals,"['courts', 'criminals']","['courts', 'criminals']",[3979833],[5268]
5270,The Film Mystery,en,9894,"Reeve, Arthur B. (Arthur Benjamin)","['Reeve, Arthur Benjamin']",,['445586'],,17280033,8565972,4139158,The Film Mystery,The Film Mystery,Arthur B. Reeve,The Film Mystery,"['film', 'mystery']","['film', 'mystery']","[4092011, 8565972]",[5270]
5301,The Imperialist,en,2526,"Duncan, Sara Jeannette","['Cotes, Mrs. Everard', 'Cotes, Everard, Mrs.', 'Wintergreen, Jane', 'Grafton, Garth', 'Cotes, V. Cecil']",0771099789,[],,4863832,617572,603986,The Imperialist,The Imperialist,Sara Jeannette Duncan,The Imperialist,['imperialist'],['imperialist'],"[617572, 9888591]",[5301]
5302,The Land of the Blue Flower,en,3652,"Burnett, Frances Hodgson","['Hodgson, Frances Eliza', 'Townesend, Frances Eliza Hodgson Burnett']",,[],eng,2041,17570264,1736573,The Land of the Blue Flower,The Land of the Blue Flower,Frances Hodgson Burnett,The Land of the Blue Flower,"['land', 'blue', 'flower']","['land', 'blue', 'flower']","[17570264, 322920]",[5302]
5303,The Little Hunchback Zia,en,3652,"Burnett, Frances Hodgson","['Hodgson, Frances Eliza', 'Townesend, Frances Eliza Hodgson Burnett']",,[],eng,2041,17187967,15246793,The Little Hunchback Zia,The Little Hunchback Zia,Frances Hodgson Burnett,The Little Hunchback Zia,"['little', 'hunchback', 'zia']","['little', 'hunchback', 'zia']","[5844816, 17187967]",[5303]
5304,My Robin,en,3652,"Burnett, Frances Hodgson","['Hodgson, Frances Eliza', 'Townesend, Frances Eliza Hodgson Burnett']",,[],eng,2041,6684176,42456508,My Robin,My Robin,Frances Hodgson Burnett,,['robin'],['robin'],"[6684176, 471944, 5682318]","[5304, 18945]"
5305,Travels in the Interior of Africa — Volume 02,en,16278,"Park, Mungo",[],,[],eng,63027,18879414,23626557,"Travels in the Interior of Africa, Volume 2","Travels in the Interior of Africa, Volume 2",Mungo Park,"Travels in the Interior of Africa, Volume 2","['travels', 'interior', 'africa', 'volume', 'two']","['travels', 'interior', 'africa', 'volume', 'two']",[18879414],[5305]
5311,Parnassus on Wheels,en,6029,"Morley, Christopher","['Morley, Christopher Darlington']",,[],,30802,8976831,847161,Parnassus on Wheels,Parnassus on Wheels,Christopher Morley,Parnassus on Wheels,"['parnassus', 'wheels']","['parnassus', 'wheels']","[7098128, 35434131, 15837471, 861733, 7240615, 11869485, 12532795, 8976831, 3044293, 26832590, 19670229, 26301788, 7284957, 1001312, 8696930, 1001317, 6059629, 33829619, 19279990, 1293047, 21703039]",[5311]
5312,Mother Goose in Prose,en,731,"Baum, L. Frank (Lyman Frank)","['Baum, Lyman Frank', 'Bancroft, Laura', 'Metcalf, Suzanne', 'Van Dyne, Edith', 'Fitzgerald, Capt. Hugh']",0517519046,[],,3242,1498891,751372,Mother Goose in Prose,Mother Goose in Prose,L. Frank Baum,Mother Goose in Prose,"['mother', 'goose', 'prose']","['mother', 'goose', 'prose']","[1498891, 11406772]","[5312, 21150]"
5314,Household Tales by Brothers Grimm,en,5616,"Grimm, Jacob","['Grimm, Jacob Ludwig Carl']",1604444118,[],,2938140,10971857,52837027,Household Tales by Brothers Grimm,Household Tales by Brothers Grimm,Jacob Grimm,,"['household', 'tales', 'brothers', 'grimm']","['household', 'tales', 'brothers', 'grimm']","[6254720, 10971857, 16091639]",[5314]
5317,Through the Magic Door,en,938,"Doyle, Arthur Conan","['Conan Doyle, Arthur, Sir', 'Doyle, Sir Arthur Conan', 'Doyle, A. Conan']",,[],,2448,11398235,1495045,Through The Magic Door,Through The Magic Door,Arthur Conan Doyle,Through the Magic Door,"['magic', 'door']","['magic', 'door']","[1503577, 11398235, 8138627]","[5317, 8637]"
5319,Pagan Papers,en,1597,"Grahame, Kenneth",[],1406588342,[],,3843,3098037,3761537,Pagan Papers,Pagan Papers,Kenneth Grahame,Pagan Papers,"['pagan', 'papers']","['pagan', 'papers']",[3098037],[5319]
5321,Concerning the Spiritual in Art,en,9452,"Kandinsky, Wassily","['Кандинский, Василий', 'Kandinsky, Wassili', 'Kandinsky, Vassily', 'Kandinsky, Vasily']",0878467025,[],,155176,265714,1117836,Concerning the Spiritual in Art,Concerning the Spiritual in Art,Wassily Kandinsky,Uber das Geistige in der Kunst,"['concerning', 'spiritual', 'art']","['concerning', 'spiritual', 'art']","[265714, 857502]",[5321]
5324,The Book of Were-Wolves,en,3170,"Baring-Gould, S. (Sabine)","['Gould, Sabine Baring', 'Baring-Gould, Sabine', 'Gould, S. Baring']",,[],,4967158,18886010,1704804,The Book of Were-Wolves,The Book of Were-Wolves,Sabine Baring-Gould,The Book of Were-Wolves,"['book', 'wolves']","['book', 'wolves']","[10437090, 27176779, 17231793, 6838675, 18886010, 1534461]",[5324]
5328,Writing for Vaudeville,en,16610,"Page, Brett",[],1434667863,[],,687389,5758815,1457144,Writing for Vaudeville,Writing for Vaudeville,Brett Page,Writing for Vaudeville,"['writing', 'vaudeville']","['writing', 'vaudeville']",[5758815],[5328]
5341,Kilmeny of the Orchard,en,3666,"Montgomery, L. M. (Lucy Maud)","['Montgomery, Lucy Maud', 'MacDonald, Lucy Maud Montgomery']",,[],eng,5350,19014608,1387258,Kilmeny of the Orchard,Kilmeny of the Orchard,L.M. Montgomery,Kilmeny of the Orchard,"['kilmeny', 'orchard']","['kilmeny', 'orchard']","[65769, 13624492, 6224527, 19014608, 6052339, 957942]",[5341]
5342,The Story Girl,en,3666,"Montgomery, L. M. (Lucy Maud)","['Montgomery, Lucy Maud', 'MacDonald, Lucy Maud Montgomery']",,['468728'],,5350,18919816,1161931,The Story Girl,The Story Girl,L.M. Montgomery,The Story Girl,"['story', 'girl']","['story', 'girl']","[17942817, 18919816, 6214893, 957945, 1306548, 1174165, 5996281, 1648540]","[26273, 5342]"
5343,Rainbow Valley,en,3666,"Montgomery, L. M. (Lucy Maud)","['Montgomery, Lucy Maud', 'MacDonald, Lucy Maud Montgomery']",160459859X,['172866'],,5350,8599324,7071165,Rainbow Valley,Rainbow Valley,L.M. Montgomery,Rainbow Valley,"['rainbow', 'valley']","['rainbow', 'valley']","[866212, 20312877, 1157967, 15884693, 7185240, 8599324, 1146365]","[26469, 5343]"
5347,Understood Betsy,en,3595,"Fisher, Dorothy Canfield","['Fisher, Mrs. John Redwood', 'Fisher, Dorothea Frances Canfield', 'Canfield, Dorothy']",0805060731,[],eng,199175,1228731,3234038,Understood Betsy,Understood Betsy,Dorothy Canfield Fisher,Understood Betsy,"['understood', 'betsy']","['understood', 'betsy']","[18760712, 11846569, 6341228, 14287788, 347151, 2433138, 3212662, 1228731, 35293022]",[5347]
5348,"Ragged Dick, Or, Street Life in New York with the Boot-Blacks",en,955,"Alger, Horatio, Jr.","['Putnam, Arthur Lee', 'Starr, Julian', 'Preston, Charles F.']",0451469593,['278778'],,2117358,19083210,639239,"Ragged Dick: Or, Street Life in New York with the Boot Blacks","Ragged Dick: Or, Street Life in New York with the Boot Blacks",Horatio Alger Jr.,Ragged Dick,"['ragged', 'dick', 'street', 'life', 'new', 'york', 'boot', 'blacks']","['ragged', 'dick', 'street', 'life', 'new', 'york', 'boot', 'blacks']","[918352, 12552553, 19083210]",[5348]
